"Code","Company","Market Cap","alpha","beta","alpha(0) ~ Pr(>|t|)","beta(1) ~ Pr(>|t|)","alpha.rtns","Exp.Rtn","Exp.Rtn.SD","Rtn.SD","Sharpe","RP.Exp.Rtn","RP.Exp.Rtn.SE","RP.Rtn.SD","RP.Sharpe","Rep. Port. Superior?"
"MIR","Mirrabooka Investments Ltd","307,053,000",-0.0033090177482697,0.147990860934655,0.867723007669032,0.0577986250756257,"FALSE",-0.00416951940037747,0.0196222222291099,0.14943839232974,-0.0279012597457373,-3.09635377616085e-05,0.00088131592891638,0.00671190214921084,-0.00461322842217672,"TRUE"
"MLT","Milton Corporation Ltd","2,410,060,000",-0.00207968841730893,0.356208660195714,0.847616196057356,0.00947456776853028,"FALSE",-0.00298375464934644,0.010886294620178,0.0829075497908628,-0.0359889377610732,-7.45281176913486e-05,0.00212129562775544,0.0161553061914465,-0.00461322842217671,"TRUE"
"MMJ","MMJ Group Holdings Ltd","17,054,300",-0.00849170029485674,0.916256645624339,0.789015702004696,0.905529396433592,"FALSE",-0.00951294313385237,0.0317759842006301,0.241998685887515,-0.0393098958325506,-0.000191704724649453,0.00545649624351316,0.041555437343595,-0.00461322842217666,"TRUE"
"MMR","Mec Resources Ltd","2,737,800",-0.0271324260169128,0.117334789580091,0.234830855022474,0.084457407747222,"FALSE",-0.0279865136214435,0.0224043193731776,0.170626212937431,-0.164022357055455,-2.45494901845172e-05,0.000698752736620987,0.00532154229920692,-0.00461322842217676,"TRUE"
"MOT","MCP Income Opportunities Trust","256,052,000",0.0536067880709319,0.24503449131441,0.33177751926291,0.537820203699273,"FALSE",0.0527259823669738,0.0542917821625628,0.413473894463068,0.127519495361232,-5.12675896119043e-05,0.0014592306509026,0.0111131695463963,-0.00461322842217672,"FALSE"
"MXT","MCP Master Income Trust","1,078,970,000",0.00145168255138906,-0.0169589793934689,0.672339631534906,1.58051656413452e-15,"FALSE",0.000651983300948596,0.00333960934329019,0.0182917937057505,0.0356434864418807,3.54825963935648e-06,0.000100994200474503,0.00076914891582195,0.00461322842217705,"FALSE"
"NAC","Naos Ex-50 Opportunities Company Ltd","29,757,500",-0.00499859785118302,0.608961164878053,0.693582869361612,0.169130167060487,"FALSE",-0.00595554648199601,0.0130252359627134,0.0991972417423643,-0.0600374201680304,-0.000127410516466828,0.00362648863118296,0.0276185145860844,-0.00461322842217676,"TRUE"
"NBI","NB Global Corporate Income Trust","668,301,000",-0.00317589081585309,0.571206935296152,0.625586626094592,0.000426349022248575,"FALSE",-0.00912919113837011,0.0109227684072235,0.0463413816604677,-0.196998682630085,-0.00011951134954573,0.00340165445085348,0.0259062284822522,-0.00461322842217671,"TRUE"
"NCC","Naos Emerging Opportunities Company Ltd","46,956,100",-0.00665395194613734,0.716136169127679,0.475678834119027,0.173872873821354,"FALSE",-0.00763332437575943,0.010126142272984,0.0771184019887434,-0.0989818795373072,-0.000149834315275927,0.00426473776244912,0.0324792751548223,-0.0046132284221768,"TRUE"
"NEW","NEW Energy Solar","362,175,000",-0.00739409542723851,0.412859464784013,0.284090431382736,6.08278163675168e-05,"FALSE",-0.0100779593863418,0.00797051416278438,0.0414160064771696,-0.243334890144399,-8.63809396562794e-05,0.0024586627878238,0.0187246179358969,-0.00461322842217672,"TRUE"
"NGE","NGE Capital Ltd","14,877,900",0.0127249519392667,0.768360470371603,0.877721048183025,0.899786450051286,"FALSE",0.011734652827325,0.0817301629688391,0.62243837707596,0.0188527141955018,-0.000160760997595545,0.00457574418725208,0.0348478295205875,-0.00461322842217678,"FALSE"
"NSC","Naos Small Cap Opportunities Company Ltd","66,290,800",-0.0119948318715727,0.672261150144986,0.367070671066047,0.268716846161898,"FALSE",-0.0129650245059123,0.0136736236305212,0.104135215105029,-0.124501826714777,-0.000140654519993418,0.00400345302590023,0.0304893898852404,-0.00461322842217671,"TRUE"
"OEQ","Orion Equities Ltd","890,719",-0.0285873301115149,-0.204375081063336,0.231796122025758,0.0258211888979702,"FALSE",-0.0293741076425381,0.0234711392963976,0.17875087141749,-0.164329871007633,4.2760583322984e-05,0.00121709552385283,0.0092691233578257,0.00461322842217676,"TRUE"
"OPH","Ophir High Conviction Fund","397,999,000",0.00673252614552424,0.56614305827621,0.685849696917241,0.0887704978087839,"FALSE",0.00339520206788485,0.0188015392969015,0.0728180485799639,0.0466258315636742,-0.000118451854747628,0.0033714980246285,0.025676563982439,-0.00461322842217676,"FALSE"
